,country_id,month,month_name,installs_per_country
0,17,4,Apr,169
1,17,3,Mar,231
2,17,6,Jun,263
3,17,2,Feb,322
4,213,11,Nov,344
5,17,5,May,345
6,213,5,May,358
7,17,1,Jan,358
8,17,10,Oct,379
9,17,9,Sep,420
10,213,12,Dec,451
11,213,10,Oct,518
12,213,4,Apr,534
13,213,6,Jun,582
14,213,9,Sep,600
15,17,7,Jul,608
16,17,11,Nov,717
17,213,7,Jul,842
18,213,3,Mar,862
19,213,8,Aug,1030
20,213,2,Feb,1376
21,213,1,Jan,1637
22,109,12,Dec,3049
23,17,12,Dec,3051
24,17,8,Aug,3808
25,109,4,Apr,3876
26,109,11,Nov,4216
27,109,2,Feb,4229
28,109,3,Mar,4288
29,109,5,May,4596
30,109,7,Jul,5224
31,109,6,Jun,5419
32,109,10,Oct,5511
33,109,9,Sep,6187
34,1,4,Apr,6763
35,109,8,Aug,6924
36,1,5,May,8125
37,1,3,Mar,8137
38,109,1,Jan,8322
39,1,6,Jun,8642
40,1,2,Feb,8889
41,1,1,Jan,10907
42,1,10,Oct,10979
43,1,7,Jul,11170
44,1,9,Sep,12738
45,1,12,Dec,12771
46,1,11,Nov,17455
47,1,8,Aug,18666
